#catalogue_i	 catalogue_j     ell_i   ell_j	s_i		s_j		 Cov^-1_ij    
pre-recon pre-recon 0 0 32.500000 42.500000 -1.579493e+04
pre-recon pre-recon 0 0 32.500000 47.500000 -5.790213e+03
pre-recon pre-recon 0 0 32.500000 52.500000 -1.232855e+04
pre-recon pre-recon 0 0 32.500000 57.500000 -3.933045e+03
pre-recon pre-recon 0 0 32.500000 62.500000 3.151681e+03
pre-recon pre-recon 0 0 32.500000 67.500000 2.430532e+03
pre-recon pre-recon 0 0 32.500000 72.500000 6.274797e+03
pre-recon pre-recon 0 0 32.500000 77.500000 -4.433622e+03
pre-recon pre-recon 0 0 32.500000 82.500000 -1.301139e+04
pre-recon pre-recon 0 0 32.500000 87.500000 8.131232e+03
pre-recon pre-recon 0 0 32.500000 92.500000 -1.067453e+03
pre-recon pre-recon 0 0 32.500000 97.500000 3.744424e+03
pre-recon pre-recon 0 0 32.500000 102.500000 -7.867361e+03
pre-recon pre-recon 0 0 32.500000 107.500000 6.224009e+03
pre-recon pre-recon 0 0 32.500000 112.500000 2.760424e+03
pre-recon pre-recon 0 0 32.500000 117.500000 -8.124681e+03
pre-recon pre-recon 0 0 32.500000 122.500000 -7.385100e+03
pre-recon pre-recon 0 0 32.500000 127.500000 -8.449416e+03
pre-recon pre-recon 0 0 32.500000 132.500000 1.579298e+04
pre-recon pre-recon 0 0 32.500000 137.500000 -1.928617e+04
pre-recon pre-recon 0 0 32.500000 142.500000 7.495615e+03
pre-recon pre-recon 0 0 32.500000 147.500000 -6.279264e+03
pre-recon pre-recon 0 0 32.500000 152.500000 -4.714245e+03
pre-recon pre-recon 0 0 32.500000 157.500000 -1.744466e+04
pre-recon pre-recon 0 2 32.500000 22.500000 -1.721645e+02
pre-recon pre-recon 0 2 32.500000 27.500000 1.966424e+02
pre-recon pre-recon 0 2 32.500000 32.500000 5.824897e+03
pre-recon pre-recon 0 2 32.500000 37.500000 -2.492762e+03
pre-recon pre-recon 0 2 32.500000 42.500000 3.642702e+02
pre-recon pre-recon 0 2 32.500000 47.500000 -4.473632e+02
pre-recon pre-recon 0 2 32.500000 52.500000 -1.102494e+03
pre-recon pre-recon 0 2 32.500000 57.500000 -3.015826e+03
pre-recon pre-recon 0 2 32.500000 62.500000 -7.230181e+02
pre-recon pre-recon 0 2 32.500000 67.500000 -8.702429e+02
pre-recon pre-recon 0 2 32.500000 72.500000 -2.036074e+03
pre-recon pre-recon 0 2 32.500000 77.500000 -2.805028e+03
pre-recon pre-recon 0 2 32.500000 82.500000 1.191871e+04
pre-recon pre-recon 0 2 32.500000 87.500000 -1.241813e+03
pre-recon pre-recon 0 2 32.500000 92.500000 -4.604212e+03
pre-recon pre-recon 0 2 32.500000 97.500000 1.259008e+03
pre-recon pre-recon 0 2 32.500000 102.500000 3.000270e+03
pre-recon pre-recon 0 2 32.500000 107.500000 3.635079e+03
pre-recon pre-recon 0 2 32.500000 112.500000 7.576984e+03
pre-recon pre-recon 0 2 32.500000 117.500000 2.002645e+03
pre-recon pre-recon 0 2 32.500000 122.500000 4.180417e+02
pre-recon pre-recon 0 2 32.500000 127.500000 -4.756257e+03
pre-recon pre-recon 0 2 32.500000 132.500000 -1.066985e+04
pre-recon pre-recon 0 2 32.500000 137.500000 5.369205e+02
pre-recon pre-recon 0 2 32.500000 142.500000 9.194173e+03
pre-recon pre-recon 0 2 32.500000 147.500000 1.347416e+04
pre-recon pre-recon 0 2 32.500000 152.500000 -1.593342e+04
pre-recon pre-recon 0 2 32.500000 157.500000 1.337333e+04
pre-recon pre-recon 0 4 32.500000 22.500000 2.619879e+03
pre-recon pre-recon 0 4 32.500000 27.500000 -1.257061e+03
pre-recon pre-recon 0 4 32.500000 32.500000 2.272301e+03
pre-recon pre-recon 0 4 32.500000 37.500000 -1.521601e+03
pre-recon pre-recon 0 4 32.500000 42.500000 5.382637e+02
pre-recon pre-recon 0 4 32.500000 47.500000 1.738416e+03
pre-recon pre-recon 0 4 32.500000 52.500000 2.014344e+03
pre-recon pre-recon 0 4 32.500000 57.500000 -3.494183e+03
pre-recon pre-recon 0 4 32.500000 62.500000 -1.622599e+03
pre-recon pre-recon 0 4 32.500000 67.500000 -4.373286e+03
pre-recon pre-recon 0 4 32.500000 72.500000 -3.148828e+03
pre-recon pre-recon 0 4 32.500000 77.500000 -5.567455e+02
pre-recon pre-recon 0 4 32.500000 82.500000 8.646683e+02
pre-recon pre-recon 0 4 32.500000 87.500000 -2.013531e+03
pre-recon pre-recon 0 4 32.500000 92.500000 -2.561159e+03
pre-recon pre-recon 0 4 32.500000 97.500000 2.282863e+03
pre-recon pre-recon 0 4 32.500000 102.500000 9.003657e+01
pre-recon pre-recon 0 4 32.500000 107.500000 4.698182e+03
pre-recon pre-recon 0 4 32.500000 112.500000 8.904750e+02
pre-recon pre-recon 0 4 32.500000 117.500000 -4.370384e+03
pre-recon pre-recon 0 4 32.500000 122.500000 -2.458238e+03
pre-recon pre-recon 0 4 32.500000 127.500000 -6.427509e+03
pre-recon pre-recon 0 4 32.500000 132.500000 -6.556967e+03
pre-recon pre-recon 0 4 32.500000 137.500000 6.982041e+03
pre-recon pre-recon 0 4 32.500000 142.500000 5.811015e+03
pre-recon pre-recon 0 4 32.500000 147.500000 -6.373240e+03
pre-recon pre-recon 0 4 32.500000 152.500000 1.665632e+04
pre-recon pre-recon 0 4 32.500000 157.500000 -4.341996e+03
pre-recon pre-recon 0 0 37.500000 22.500000 5.207956e+03
pre-recon pre-recon 0 0 37.500000 27.500000 -3.520965e+03
pre-recon pre-recon 0 0 37.500000 32.500000 -7.267911e+03
pre-recon pre-recon 0 0 37.500000 37.500000 1.808333e+05
pre-recon pre-recon 0 0 37.500000 42.500000 -2.766383e+04
pre-recon pre-recon 0 0 37.500000 47.500000 -1.891633e+04
pre-recon pre-recon 0 0 37.500000 52.500000 -1.010592e+04
pre-recon pre-recon 0 0 37.500000 57.500000 -1.863440e+03
pre-recon pre-recon 0 0 37.500000 62.500000 -1.312717e+04
pre-recon pre-recon 0 0 37.500000 67.500000 8.058714e+03
pre-recon pre-recon 0 0 37.500000 72.500000 1.545173e+04
pre-recon pre-recon 0 0 37.500000 77.500000 -2.695703e+04
pre-recon pre-recon 0 0 37.500000 82.500000 1.917595e+04
pre-recon pre-recon 0 0 37.500000 87.500000 -5.144319e+03
pre-recon pre-recon 0 0 37.500000 92.500000 -1.201831e+04
pre-recon pre-recon 0 0 37.500000 97.500000 -7.748059e+03
pre-recon pre-recon 0 0 37.500000 102.500000 7.858270e+03
pre-recon pre-recon 0 0 37.500000 107.500000 1.213397e+04
pre-recon pre-recon 0 0 37.500000 112.500000 -3.162776e+04
pre-recon pre-recon 0 0 37.500000 117.500000 -2.703835e+04
pre-recon pre-recon 0 0 37.500000 122.500000 2.372153e+04
pre-recon pre-recon 0 0 37.500000 127.500000 1.791921e+04
pre-recon pre-recon 0 0 37.500000 132.500000 2.202621e+04
pre-recon pre-recon 0 0 37.500000 137.500000 -2.719218e+04
pre-recon pre-recon 0 0 37.500000 142.500000 -2.943945e+04
pre-recon pre-recon 0 0 37.500000 147.500000 -2.310325e+04
pre-recon pre-recon 0 0 37.500000 152.500000 1.915547e+04
pre-recon pre-recon 0 0 37.500000 157.500000 -5.807806e+03
pre-recon pre-recon 0 2 37.500000 22.500000 -1.322580e+03
pre-recon pre-recon 0 2 37.500000 27.500000 1.594023e+03
pre-recon pre-recon 0 2 37.500000 32.500000 -3.797403e+02
pre-recon pre-recon 0 2 37.500000 37.500000 4.508348e+03
pre-recon pre-recon 0 2 37.500000 42.500000 -2.529118e+03
pre-recon pre-recon 0 2 37.500000 47.500000 -9.371180e+01
pre-recon pre-recon 0 2 37.500000 52.500000 -4.744463e+03
pre-recon pre-recon 0 2 37.500000 57.500000 -1.972083e+03
pre-recon pre-recon 0 2 37.500000 62.500000 2.507185e+03
pre-recon pre-recon 0 2 37.500000 67.500000 7.839506e+03
pre-recon pre-recon 0 2 37.500000 72.500000 -2.040489e+03
pre-recon pre-recon 0 2 37.500000 77.500000 1.144991e+03
pre-recon pre-recon 0 2 37.500000 82.500000 7.308282e+03
pre-recon pre-recon 0 2 37.500000 87.500000 -5.502165e+03
pre-recon pre-recon 0 2 37.500000 92.500000 1.236781e+03
pre-recon pre-recon 0 2 37.500000 97.500000 -2.353330e+03
pre-recon pre-recon 0 2 37.500000 102.500000 -6.467690e+02
pre-recon pre-recon 0 2 37.500000 107.500000 -7.865779e+03
pre-recon pre-recon 0 2 37.500000 112.500000 -5.216978e+03
pre-recon pre-recon 0 2 37.500000 117.500000 1.147074e+04
pre-recon pre-recon 0 2 37.500000 122.500000 3.306926e+03
pre-recon pre-recon 0 2 37.500000 127.500000 8.127990e+03
pre-recon pre-recon 0 2 37.500000 132.500000 -8.996684e+03
pre-recon pre-recon 0 2 37.500000 137.500000 1.653851e+04
pre-recon pre-recon 0 2 37.500000 142.500000 1.607610e+04
pre-recon pre-recon 0 2 37.500000 147.500000 6.982075e+03
pre-recon pre-recon 0 2 37.500000 152.500000 1.344223e+04
pre-recon pre-recon 0 2 37.500000 157.500000 1.372956e+03
pre-recon pre-recon 0 4 37.500000 22.500000 6.702666e+02
pre-recon pre-recon 0 4 37.500000 27.500000 1.516659e+02
pre-recon pre-recon 0 4 37.500000 32.500000 2.675509e+03
pre-recon pre-recon 0 4 37.500000 37.500000 -7.501750e+00
pre-recon pre-recon 0 4 37.500000 42.500000 1.182380e+03
pre-recon pre-recon 0 4 37.500000 47.500000 -4.087463e+02
pre-recon pre-recon 0 4 37.500000 52.500000 1.731981e+02
pre-recon pre-recon 0 4 37.500000 57.500000 1.478506e+03
pre-recon pre-recon 0 4 37.500000 62.500000 2.897379e+03
pre-recon pre-recon 0 4 37.500000 67.500000 -1.967448e+03
pre-recon pre-recon 0 4 37.500000 72.500000 2.658738e+03
pre-recon pre-recon 0 4 37.500000 77.500000 1.437680e+04
pre-recon pre-recon 0 4 37.500000 82.500000 -7.843925e+02
pre-recon pre-recon 0 4 37.500000 87.500000 7.942534e+03
pre-recon pre-recon 0 4 37.500000 92.500000 -4.086327e+03
pre-recon pre-recon 0 4 37.500000 97.500000 -3.188641e+03
pre-recon pre-recon 0 4 37.500000 102.500000 -2.948548e+03
pre-recon pre-recon 0 4 37.500000 107.500000 -6.824280e+03
