#catalogue_i	 catalogue_j     ell_i   ell_j	s_i		s_j		 Covij    
pre-recon pre-recon 0 4 32.500000 87.500000 2.950976e-08
pre-recon pre-recon 0 4 32.500000 92.500000 -3.658244e-08
pre-recon pre-recon 0 4 32.500000 97.500000 9.352181e-09
pre-recon pre-recon 0 4 32.500000 102.500000 6.585640e-08
pre-recon pre-recon 0 4 32.500000 107.500000 -9.658272e-08
pre-recon pre-recon 0 4 32.500000 112.500000 -7.778089e-08
pre-recon pre-recon 0 4 32.500000 117.500000 1.942156e-07
pre-recon pre-recon 0 4 32.500000 122.500000 7.299337e-08
pre-recon pre-recon 0 4 32.500000 127.500000 2.165760e-07
pre-recon pre-recon 0 4 32.500000 132.500000 2.797455e-07
pre-recon pre-recon 0 4 32.500000 137.500000 -6.988800e-08
pre-recon pre-recon 0 4 32.500000 142.500000 -2.330403e-07
pre-recon pre-recon 0 4 32.500000 147.500000 2.162084e-07
pre-recon pre-recon 0 4 32.500000 152.500000 -4.077175e-07
pre-recon pre-recon 0 4 32.500000 157.500000 7.279938e-08
pre-recon pre-recon 0 0 37.500000 22.500000 -3.018089e-07
pre-recon pre-recon 0 0 37.500000 27.500000 6.095372e-07
pre-recon pre-recon 0 0 37.500000 32.500000 5.563640e-07
pre-recon pre-recon 0 0 37.500000 37.500000 5.884687e-06
pre-recon pre-recon 0 0 37.500000 42.500000 8.877846e-07
pre-recon pre-recon 0 0 37.500000 47.500000 6.029740e-07
pre-recon pre-recon 0 0 37.500000 52.500000 3.971336e-07
pre-recon pre-recon 0 0 37.500000 57.500000 2.191577e-07
pre-recon pre-recon 0 0 37.500000 62.500000 2.619183e-07
pre-recon pre-recon 0 0 37.500000 67.500000 3.026680e-08
pre-recon pre-recon 0 0 37.500000 72.500000 -5.597826e-08
pre-recon pre-recon 0 0 37.500000 77.500000 2.545149e-07
pre-recon pre-recon 0 0 37.500000 82.500000 -6.399858e-08
pre-recon pre-recon 0 0 37.500000 87.500000 5.622548e-08
pre-recon pre-recon 0 0 37.500000 92.500000 9.232735e-08
pre-recon pre-recon 0 0 37.500000 97.500000 8.664845e-08
pre-recon pre-recon 0 0 37.500000 102.500000 5.839845e-08
pre-recon pre-recon 0 0 37.500000 107.500000 -3.589004e-08
pre-recon pre-recon 0 0 37.500000 112.500000 1.291889e-07
pre-recon pre-recon 0 0 37.500000 117.500000 1.372305e-07
pre-recon pre-recon 0 0 37.500000 122.500000 -2.899724e-08
pre-recon pre-recon 0 0 37.500000 127.500000 -4.173608e-09
pre-recon pre-recon 0 0 37.500000 132.500000 -6.101571e-08
pre-recon pre-recon 0 0 37.500000 137.500000 9.447508e-08
pre-recon pre-recon 0 0 37.500000 142.500000 6.951599e-08
pre-recon pre-recon 0 0 37.500000 147.500000 3.385383e-08
pre-recon pre-recon 0 0 37.500000 152.500000 -9.291505e-09
pre-recon pre-recon 0 0 37.500000 157.500000 1.022840e-08
pre-recon pre-recon 0 2 37.500000 22.500000 5.928426e-07
pre-recon pre-recon 0 2 37.500000 27.500000 -3.960381e-07
pre-recon pre-recon 0 2 37.500000 32.500000 3.353555e-07
pre-recon pre-recon 0 2 37.500000 37.500000 -2.466077e-07
pre-recon pre-recon 0 2 37.500000 42.500000 2.635275e-07
pre-recon pre-recon 0 2 37.500000 47.500000 -2.180949e-07
pre-recon pre-recon 0 2 37.500000 52.500000 3.057224e-07
pre-recon pre-recon 0 2 37.500000 57.500000 1.240669e-07
pre-recon pre-recon 0 2 37.500000 62.500000 -1.227906e-07
pre-recon pre-recon 0 2 37.500000 67.500000 -5.256441e-07
pre-recon pre-recon 0 2 37.500000 72.500000 -7.509631e-08
pre-recon pre-recon 0 2 37.500000 77.500000 -6.578114e-08
pre-recon pre-recon 0 2 37.500000 82.500000 -2.803790e-07
pre-recon pre-recon 0 2 37.500000 87.500000 1.863666e-08
pre-recon pre-recon 0 2 37.500000 92.500000 -9.440265e-08
pre-recon pre-recon 0 2 37.500000 97.500000 -8.497020e-09
pre-recon pre-recon 0 2 37.500000 102.500000 -6.141732e-08
pre-recon pre-recon 0 2 37.500000 107.500000 7.010670e-08
pre-recon pre-recon 0 2 37.500000 112.500000 5.115787e-08
pre-recon pre-recon 0 2 37.500000 117.500000 -2.414984e-07
pre-recon pre-recon 0 2 37.500000 122.500000 -1.550964e-07
pre-recon pre-recon 0 2 37.500000 127.500000 -1.525567e-07
pre-recon pre-recon 0 2 37.500000 132.500000 1.451841e-09
pre-recon pre-recon 0 2 37.500000 137.500000 -2.716388e-07
pre-recon pre-recon 0 2 37.500000 142.500000 -2.087914e-07
pre-recon pre-recon 0 2 37.500000 147.500000 -1.559653e-07
pre-recon pre-recon 0 2 37.500000 152.500000 -2.264111e-07
pre-recon pre-recon 0 2 37.500000 157.500000 -1.023135e-07
pre-recon pre-recon 0 4 37.500000 22.500000 -5.116461e-07
pre-recon pre-recon 0 4 37.500000 27.500000 3.165068e-09
pre-recon pre-recon 0 4 37.500000 32.500000 -5.767180e-07
pre-recon pre-recon 0 4 37.500000 37.500000 -3.930522e-07
pre-recon pre-recon 0 4 37.500000 42.500000 -3.791244e-07
pre-recon pre-recon 0 4 37.500000 47.500000 -3.614334e-07
pre-recon pre-recon 0 4 37.500000 52.500000 -1.154245e-07
pre-recon pre-recon 0 4 37.500000 57.500000 1.574308e-08
pre-recon pre-recon 0 4 37.500000 62.500000 -1.924458e-07
pre-recon pre-recon 0 4 37.500000 67.500000 9.595363e-09
pre-recon pre-recon 0 4 37.500000 72.500000 -3.367522e-07
pre-recon pre-recon 0 4 37.500000 77.500000 -8.534473e-07
pre-recon pre-recon 0 4 37.500000 82.500000 -2.368702e-08
pre-recon pre-recon 0 4 37.500000 87.500000 -5.975669e-07
pre-recon pre-recon 0 4 37.500000 92.500000 5.907482e-08
pre-recon pre-recon 0 4 37.500000 97.500000 1.615713e-07
pre-recon pre-recon 0 4 37.500000 102.500000 1.079271e-07
pre-recon pre-recon 0 4 37.500000 107.500000 1.148934e-07
pre-recon pre-recon 0 4 37.500000 112.500000 -1.992450e-07
pre-recon pre-recon 0 4 37.500000 117.500000 4.383617e-08
pre-recon pre-recon 0 4 37.500000 122.500000 -1.860235e-07
pre-recon pre-recon 0 4 37.500000 127.500000 -2.080091e-07
pre-recon pre-recon 0 4 37.500000 132.500000 -3.321618e-07
pre-recon pre-recon 0 4 37.500000 137.500000 -2.605968e-09
pre-recon pre-recon 0 4 37.500000 142.500000 1.441524e-07
pre-recon pre-recon 0 4 37.500000 147.500000 4.147872e-07
pre-recon pre-recon 0 4 37.500000 152.500000 1.195144e-07
pre-recon pre-recon 0 4 37.500000 157.500000 2.746478e-07
pre-recon pre-recon 0 0 42.500000 22.500000 3.723722e-07
pre-recon pre-recon 0 0 42.500000 27.500000 6.368113e-07
pre-recon pre-recon 0 0 42.500000 32.500000 7.853916e-07
pre-recon pre-recon 0 0 42.500000 37.500000 8.877846e-07
pre-recon pre-recon 0 0 42.500000 42.500000 5.098435e-06
pre-recon pre-recon 0 0 42.500000 47.500000 6.770511e-07
pre-recon pre-recon 0 0 42.500000 52.500000 5.596440e-07
pre-recon pre-recon 0 0 42.500000 57.500000 3.741366e-07
